MONTHLY COMPARATIVE PRICE DATA,,,,,,,,,,,,
NCR COVERAGE*,,,,,,,,,,,,
,,,,,,,,,,,,
BASIC NECESSITIES (BN),,,,,,,,,,,,
PRODUCT CATEGORY,COMMODITY,BRAND NAME,"SPECIFICATION
(size, unit, weight, height, etc.)","SRP
01 FEB 2025 (ADJUSTED)","MONITORED PREVAILING PRICE, NCR",,,,,,,
,,,,,CURRENT MONTH,A MONTH AGO ,CURRENT VS. A MONTH AGO ,,CURRENT MONTH,THREE MONTHS AGO ,CURRENT VS. THREE MONTHS AGO ,
,,,,,,,,,,,,
,,,,,2025-11-01,OCTOBER,% CHANGE,PHP DIFF.,2025-11-01,2025-08-01,% CHANGE,PHP DIFF.
Bread - Pandesal,TIFFANY'S Pandesal (10pcs./pack),Tiffany's,390g,NO SRP,,,,,,,,
Bread - Pandesal,UNCLE George Pandesal (10pcs./pack),Uncle George,390g,NO SRP,,,,,,,,
Candles,5-STAR  Esperma (White) #6,5 Star,25pcs./pack,115.5,115.5,115.5,0.00%,0,115.5,115.5,0.00%,0
Candles,5-STAR  Esperma (White) #8,5 Star,5pcs./pack,150.25,150.25,,,,150.25,150.25,0.00%,0
Candles,5-STAR Esperma (White) #14,5 Star,4pcs./pack,36.25,36.25,36.25,0.00%,0,36.25,36.25,0.00%,0
Candles,5-STAR Esperma (White) #22,5 Star,2pcs./pack,117.75,117.75,117.75,0.00%,0,117.75,117.75,0.00%,0
Candles,5-STAR Esperma (White) #3,5 Star,20pcs./pack,54.25,54.25,54.25,0.00%,0,54.25,54.25,0.00%,0
Candles,EXPORT Candles & Esperma (White) # 03,Export ,20pcs./pack,39,32,37,-13.51%,-5,32,32,0.00%,0
Candles,EXPORT Candles & Esperma (White) # 06,Export ,20pcs./pack,85,85,72,18.06%,13,85,85,0.00%,0
Candles,EXPORT Candles & Esperma (White) # 12,Export ,10pcs./pack,72.75,,,,,,72.75,,
Candles,EXPORT Candles & Esperma (White) # 14,Export ,8pcs./pack,72.75,,65,,,,72.75,,
Candles,EXPORT Candles & Esperma (White) # 16,Export ,4pcs./pack,36.25,,36.25,,,,36.25,,
Candles,EXPORT Candles & Esperma (White) # 18,Export ,4pcs./pack,48.5,39.5,48.5,-18.56%,-9,39.5,48.5,-18.56%,-9
Candles,EXPORT Candles & Esperma (White) # 19,Export ,4pcs./pack,97,97,97,0.00%,0,97,97,0.00%,0
Candles,EXPORT Candles & Esperma (White) # 20 x 2,Export ,2pcs./pack,66.75,,,,,,56,,
Candles,EXPORT Candles & Esperma (White) # 20 x 4,Export ,4pcs./pack,121.5,,121.5,,,,121.5,,
Candles,EXPORT Candles White  # 05 ,Export ,20pcs./pack,60.5,60.5,60.5,0.00%,0,60.5,60.5,0.00%,0
Candles,EXPORT Candles White # 08,Export ,12pcs./pack,60.5,,49,,,,49,,
Candles,EXPORT Candles White # 10,Export ,10pcs./pack,72.75,58,72.75,-20.27%,-14.75,58,72.75,-20.27%,-14.75
Candles,EXPORT Vigil Candles # 01 White,Export ,12pcs./pack,60.5,55.25,,,,55.25,,,
Candles,EXPORT Vigil Candles # 01 Yellow,Export ,12pcs./pack,60.5,,,,,,,,
Candles,EXPORT Vigil Candles # 2 x 4 White,Export ,4pcs./pack,54.5,46.5,54.5,-14.68%,-8,46.5,50.25,-7.46%,-3.75
Candles,EXPORT Vigil Candles # 2 x 4 Yellow,Export ,4pcs./pack,54.5,,,,,,,,
Candles,EXPORT Vigil Candles # 2 x 6 White,Export ,6pcs./pack,85,85,,,,85,,,
Candles,EXPORT Vigil Candles # 2 x 6 Yellow,Export ,6pcs./pack,85,,85,,,,,,
Candles,JOY Esperma Candles #5 White,Joy,20pcs./pack,NO SRP,,51.5,,,,47.75,,
Candles,JOY Esperma Candles #18 White,Joy,4pcs./pack,NO SRP,52.5,50.35,4.27%,2.15,52.5,49,7.14%,3.5
Candles,JOY Esperma Candles #19 White,Joy,4pcs./pack,NO SRP,77,77,0.00%,0,77,77,0.00%,0
Candles,JOY Esperma Candles #20 White,Joy,2pcs./pack,NO SRP,53.35,53.5,-0.28%,-0.15,53.35,50,6.70%,3.35
Candles,JOY Esperma Candles #24 White,Joy,2pcs./pack,NO SRP,116.3,123.5,-5.83%,-7.2,116.3,132,-11.89%,-15.7
