MONTHLY COMPARATIVE PRICE DATA,,,,,,,,,,,,
NCR COVERAGE*,,,,,,,,,,,,
,,,,,,,,,,,,
CONSTRUCTION MATERIALS ,,,,,,,,,,,,
PRODUCT CATEGORY,COMMODITY,BRAND NAME,UNIT,SIZE,"MONITORED PREVAILING PRICE, NCR",,,,,,,
,,,,,CURRENT MONTH,A MONTH AGO ,CURRENT VS. A MONTH AGO ,,CURRENT MONTH,THREE MONTHS AGO ,CURRENT VS. THREE MONTHS AGO ,
,,,,,,,,,,,,
,,,,,NOVEMBER,OCTOBER,% CHANGE,PHP DIFF.,NOVEMBER,AUGUST,% CHANGE,PHP DIFF.
"GI Sheet, Roofing - Corrugated",GALVALUME GI Sheet - 0.31 mm (Gauge 30) 10 ft.,Galvalume,feet,0.31 mm 10 feet,,,,,,,,
"GI Sheet, Roofing - Corrugated",GALVALUME GI Sheet - 0.31 mm (Gauge 30) 6 ft.,Galvalume,milli meter,0.31 mm 6 feet,,,,,,,,
"GI Sheet, Roofing - Corrugated",GALVALUME GI Sheet - 0.31 mm (Gauge 30) 8 ft.,Galvalume,feet,0.31 mm 8 feet,,,,,,,,
"GI Sheet, Roofing - Corrugated",GALVALUME GI Sheet - 0.4 mm (Gauge 28) 10 ft.,Galvalume,feet,0.4 mm 10 feet,,,,,,,,
"GI Sheet, Roofing - Corrugated",GALVALUME GI Sheet - 0.4 mm (Gauge 28) 6 ft.,Galvalume,feet,0.4 mm 6 feet,,,,,,,,
"GI Sheet, Roofing - Corrugated",GALVALUME GI Sheet - 0.4 mm (Gauge 28) 8 ft.,Galvalume,feet,0.4 mm 8 feet,,,,,,,,
"GI Sheet, Roofing - Corrugated",GALVALUME GI Sheet - 0.5 mm (Gauge 26) 10 ft.,Galvalume,feet,0.5 mm 10 feet,,,,,,,,
"GI Sheet, Roofing - Corrugated",GALVALUME GI Sheet - 0.5 mm (Gauge 26) 6 ft.,Galvalume,feet,0.5 mm 6 feet,,,,,,,,
"GI Sheet, Roofing - Corrugated",GALVALUME GI Sheet - 0.5 mm (Gauge 26) 8 ft.,Galvalume,feet,0.5 mm 8 feet,,,,,,,,
"GI Sheet, Roofing - Corrugated",GALVAMET GI Sheet - 0.2mm Z215 6 ft.,Galvamet,feet,0.2mm z215 6 ft.,,,,,,,,
"GI Sheet, Roofing - Corrugated",GALVAMET GI Sheet - 0.2mm Z215 8 ft.,Galvamet,feet,0.2mm Z215 8 ft.,,,,,,,,
"GI Sheet, Roofing - Corrugated",GALVAMET GI Sheet - 0.4mm Z215 6 ft.,Galvamet,feet,0.4mm z215 6 ft.,,,,,,,,
"GI Sheet, Roofing - Corrugated",GALVAMET GI Sheet - 0.4mm Z215 8ft.,Galvamet,feet,0.4mm Z215 8ft.,,,,,,,,
"GI Sheet, Roofing - Corrugated",GALVANIZE #26 - 0.35mm per foot,Galvanize,feet,0.35mm per foot,,,,,,,,
"GI Sheet, Roofing - Corrugated",GALVANIZE #4 - 0.4mm per foot,Galvanize,feet,0.4mm per foot,,,,,,,,
"GI Sheet, Roofing - Corrugated",GALVASTAR GI Sheet - 0.2mm z215 6 ft.,Galvastar,feet,0.2mm z215 6 ft.,,,,,,,,
"GI Sheet, Roofing - Corrugated",GALVASTAR GI Sheet - 0.2mm Z215 8 ft.,Galvastar,feet,0.2mm Z215 8 ft.,,,,,,,,
"GI Sheet, Roofing - Corrugated",GALVASTAR GI Sheet - 0.4mm Z215 6 ft.,Galvastar,feet,0.4mm z215 6 ft.,,,,,,,,
"GI Sheet, Roofing - Corrugated",GALVASTAR GI Sheet - 0.4mm Z215 8ft.,Galvastar,feet,0.4mm Z215 8ft.,,,,,,,,
"GI Sheet, Roofing - Corrugated",HI PEAK GI Sheet - 0.35mm per foot,Hi Peak,feet,0.35mm per foot,,,,,,,,
"GI Sheet, Roofing - Corrugated",HI PEAK GI Sheet - 0.5mm,Hi Peak,feet,0.5mm,,,,,,,,
"GI Sheet, Roofing - Corrugated",MEGA ZINC GI Sheet - 0.2mm Z215 6 ft.,Mega Zinc,feet,0.2mm z215 6 ft.,,,,,,,,
"GI Sheet, Roofing - Corrugated",MEGA ZINC GI Sheet - 0.2mm Z215 8 ft.,Mega Zinc,feet,0.2mm Z215 8 ft.,,,,,,,,
"GI Sheet, Roofing - Corrugated",MEGA ZINC GI Sheet - 0.31 mm (Gauge 30) 10 ft.,Mega Zinc,milli meter,0.31 mm 10 feet,,,,,,,,
"GI Sheet, Roofing - Corrugated",MEGA ZINC GI Sheet - 0.31 mm (Gauge 30) 6 ft.,Mega Zinc,milli meter,0.31 mm 6 feet,,,,,,,,
"GI Sheet, Roofing - Corrugated",MEGA ZINC GI Sheet - 0.31 mm (Gauge 30) 8 ft.,Mega Zinc,milli meter,0.31 mm 8 feet,,,,,,,,
"GI Sheet, Roofing - Corrugated",MEGA ZINC GI Sheet - 0.4 mm (Gauge 28) 10 ft.,Mega Zinc,feet,0.4 mm 10 feet,,,,,,,,
"GI Sheet, Roofing - Corrugated",MEGA ZINC GI Sheet - 0.4 mm (Gauge 28) 6 ft.,Mega Zinc,feet,0.4 mm 6 feet,,,,,,,,
"GI Sheet, Roofing - Corrugated",MEGA ZINC GI Sheet - 0.4 mm (Gauge 28) 8 ft.,Mega Zinc,feet,0.4 mm 8 feet,,,,,,,,
"GI Sheet, Roofing - Corrugated",MEGA ZINC GI Sheet - 0.4mm Z215 6 ft.,Mega Zinc,feet,0.4mm z215 6 ft.,,,,,,,,
"GI Sheet, Roofing - Corrugated",MEGA ZINC GI Sheet - 0.4mm Z215 8ft.,Mega Zinc,feet,0.4mm Z215 8ft.,,,,,,,,
"GI Sheet, Roofing - Corrugated",MEGA ZINC GI Sheet - 0.5 mm (Gauge 26) 10 ft.,Mega Zinc,feet,0.5 mm 10 feet,,,,,,,,
"GI Sheet, Roofing - Corrugated",MEGA ZINC GI Sheet - 0.5 mm (Gauge 26) 6 ft.,Mega Zinc,feet,0.5 mm 6 feet,,,,,,,,
"GI Sheet, Roofing - Corrugated",MEGA ZINC GI Sheet - 0.5 mm (Gauge 26) 8 ft.,Mega Zinc,feet,0.5 mm 8 feet,,,,,,,,
"GI Sheet, Roofing - Corrugated",MEGA ZINC GI Sheet - 0.5mm,Mega Sinc,milli meter,0.5mm,,,,,,,,
"GI Sheet, Roofing - Corrugated",MIGHTY LUME GI Sheet - 0.2 mm per foot,Mighty Lume,feet,0.2 mm per foot,,,,,,,,
"GI Sheet, Roofing - Corrugated",MIGHTY LUME GI Sheet - 0.24mm,Mighty Lume,feet,0.24mm,,,,,,,,
"GI Sheet, Roofing - Corrugated",MIGHTY LUME GI Sheet - 0.26mm,Mighty Lume,feet,0.26mm,,,,,,,,
"GI Sheet, Roofing - Corrugated",MIGHTY LUME GI Sheet - 0.31 mm (Gauge 30) 10 ft.,Mighty Lume,milli meter,0.31 mm 10 feet,,,,,,,,
"GI Sheet, Roofing - Corrugated",MIGHTY LUME GI Sheet - 0.31 mm (Gauge 30) 6 ft.,Mighty Lume,milli meter,0.31 mm 6 feet,,,,,,,,
"GI Sheet, Roofing - Corrugated",MIGHTY LUME GI Sheet - 0.31 mm (Gauge 30) 8 ft.,Mighty Lume,milli meter,0.31 mm 8 feet,,,,,,,,
"GI Sheet, Roofing - Corrugated",MIGHTY LUME GI Sheet - 0.33mm,Mighty Lume,feet,0.33mm,,,,,,,,
"GI Sheet, Roofing - Corrugated",MIGHTY LUME GI Sheet - 0.35mm per foot,Mighty Lume,feet,0.35mm per foot,,,,,,,,
"GI Sheet, Roofing - Corrugated",MIGHTY LUME GI Sheet - 0.4 mm (Gauge 28) 10 ft.,Mighty Lume,feet,0.4 mm 10 feet,,,,,,,,
"GI Sheet, Roofing - Corrugated",MIGHTY LUME GI Sheet - 0.4 mm (Gauge 28) 6 ft.,Mighty Lume,feet,0.4 mm 6 feet,,,,,,,,
"GI Sheet, Roofing - Corrugated",MIGHTY LUME GI Sheet - 0.4 mm (Gauge 28) 8 ft.,Mighty Lume,feet,0.4 mm 8 feet,,,,,,,,
"GI Sheet, Roofing - Corrugated",MIGHTY LUME GI Sheet - 0.4mm per foot,Mighty Lume,feet,4mm per foot,,,,,,,,
"GI Sheet, Roofing - Corrugated",MIGHTY LUME GI Sheet - 0.5 mm (Gauge 26) 10 ft.,Mighty Lume,feet,0.5 mm 10 feet,,,,,,,,
"GI Sheet, Roofing - Corrugated",MIGHTY LUME GI Sheet - 0.5 mm (Gauge 26) 6 ft.,Mighty Lume,feet,0.5 mm 6 feet,,,,,,,,
"GI Sheet, Roofing - Corrugated",MIGHTY LUME GI Sheet - 0.5 mm (Gauge 26) 8 ft.,Mighty Lume,feet,0.5 mm 8 feet,,,,,,,,
"GI Sheet, Roofing - Corrugated",MIGHTY LUME GI Sheet - 0.5mm,Mighty Lume,milli meter,0.5mm,,,,,,,,
