MONTHLY COMPARATIVE PRICE DATA,,,,,,,,,,,,
NATIONWIDE COVERAGE*,,,,,,,,,,,,
,,,,,,,,,,,,
PRIME COMMODITIES (PC),,,,,,,,,,,,
PRODUCT CATEGORY,COMMODITY,BRAND NAME,"SPECIFICATION
(size, unit, weight, height, etc.)","SRP
01 FEB 2025 (ADJUSTED)","MONITORED PREVAILING PRICE, NATIONWIDE",,,,,,,
,,,,,CURRENT MONTH,A MONTH AGO ,CURRENT VS. A MONTH AGO ,,CURRENT MONTH,THREE MONTHS AGO ,CURRENT VS. THREE MONTHS AGO ,
,,,,,,,,,,,,
,,,,,NOVEMBER,OCTOBER,% CHANGE,PHP DIFF.,NOVEMBER,AUGUST,% CHANGE,PHP DIFF.
Battery,DURACELL AAA,DURACELL,2pcs/pack,NO SRP,,,,,,,,
Condiments - Patis,DATU PUTI Patis (PET Bottle) - SMKT,Datu Puti,350ml,27,25,25,0.00%,0,25,25,0.00%,0
Condiments - Patis,DATU PUTI Patis (GIN Bottle) - WMKT,Datu Puti,350ml,28.25,,,,,,,,
Condiments - Patis,DATU PUTI Patis (PET Bottle) - WMKT,Datu Puti,350ml,28.25,,,,,,,,
Condiments - Patis,DATU PUTI Patis (PET Bottle) - SMKT,Datu Puti,1L,NO SRP,71.75,71.75,0.00%,0,71.75,71.75,0.00%,0
Condiments - Patis,LA MARINA Fish Sauce (PET Bottle),La Marina,340ml,NO SRP,23,23,0.00%,0,23,23,0.00%,0
Condiments - Patis,LORINS Patis (BUDGET PACK),Lorins,350ml,21.25,21.25,21.25,0.00%,0,21.25,21.25,0.00%,0
Condiments - Patis,LORINS Patis (PET Bottle),Lorins,350ml,23.25,23.25,23.25,0.00%,0,23.25,23.25,0.00%,0
Condiments - Patis,LORINS (POUCH),Lorins,150ml,11.5,11.5,11.5,0.00%,0,11.5,11.5,0.00%,0
Condiments - Patis,MARCA PINA Patis (SACHET),Marca Pina,150g,NO SRP,,,,,,,,
Condiments - Patis,MARCA PINA Patis (GIN Bottle) ,Marca Pina,350ml,NO SRP,,,,,,,,
Condiments - Patis,MARCA PINA Patis (PET Bottle) ,Marca Pina,1L,NO SRP,77.5,81.5,-4.91%,-4,77.5,73.75,5.08%,3.75
Condiments - Patis,NELICOM Special  (GIN Bottle) - SMKT,Nelicom,350ml,30.5,,29,,,,,,
Condiments - Patis,NELICOM Special  (PET Bottle) - SMKT,Nelicom,350ml,30.5,29,29.5,-1.69%,-0.5,29,29,0.00%,0
Condiments - Patis,NELICOM Special  (GIN Bottle) - WMKT,Nelicom,350ml,31.75,,,,,,,,
Condiments - Patis,NELICOM Special  (PET Bottle) - WMKT,Nelicom,350ml,31.75,,,,,,,,
Condiments - Patis,RUFINA Patis,Rufina,325ml,NO SRP,34.5,,,,34.5,,,
